word,mfa_start_time,mfa_end_time,gentle_start_time,gentle_end_time
folks,116.5,116.79,,
persuaded,116.79,117.31,,
him,117.31,117.45,,
to,117.5,117.55,,
be,117.55,117.69,,
a,117.69,117.72,,
doctor,117.72,118.1,,
instead,118.1,118.71,,
He,119.41,119.51,,
was,119.51,119.63,,
a,119.63,119.69,,
good,119.69,119.87,,
one,119.87,120.09,,
for,120.09,120.27,,
his,120.27,120.44,,
age,120.44,120.87,,
but,121.46,121.57,,
his,121.57,121.73,,
real,121.73,122.1,,
interest,122.1,122.69,,
was,122.69,122.84,,
in,122.84,122.97,,
what,122.97,123.09,,
he,123.09,123.22,,
loved,123.22,123.51,,
to,123.51,123.54,,
call,123.54,124.08,,
the,124.25,124.45,,
wonders,124.45,125.02,,
of,125.02,125.17,,
science,125.17,125.86,,
As,127.28,127.5,,
for,127.5,127.6,,
me,127.6,127.95,,
sociology,127.95,128.63,,
’s,128.63,128.75,,
my,128.75,128.9,,
major,128.9,129.28,,
You,129.75,129.92,,
have,129.92,130.07,,
to,130.07,130.1,,
back,130.1,130.44,,
that,130.44,130.6,,
up,130.6,130.73,,
with,130.73,130.85,,
a,130.85,130.88,,
lot,130.88,131.08,,
of,131.08,131.17,,
other,131.17,131.29,,
sciences,131.29,131.82,,
of,131.82,131.89,,
course,131.89,132.3,,
I,132.82,132.92,,
’m,132.92,133.11,,
interested,133.11,133.55,,
in,133.55,133.65,,
them,133.65,133.78,,
all,133.78,134.11,,
Terry,135.65,136.01,,
was,136.01,136.2,,
strong,136.2,136.57,,
on,136.57,136.78,,
facts,136.78,137.31,,
geography,137.55,138.36,,
and,138.36,138.48,,
meteorology,138.48,139.34,,
and,139.34,139.46,,
those,139.46,139.9,,
Jeff,140.4,140.64,,
could,140.64,140.82,,
beat,140.82,141.0,,
him,141.0,141.24,,
any,141.32,141.56,,
time,141.56,141.98,,
on,141.98,142.15,,
biology,142.15,142.92,,
and,143.83,143.94,,
I,143.94,144.07,,
did,144.07,144.19,,
n’t,144.19,144.33,,
care,144.33,144.53,,
what,144.53,144.75,,
it,144.75,144.84,,
was,144.84,145.06,,
they,145.06,145.16,,
talked,145.16,145.44,,
about,145.44,145.72,,
so,145.72,145.86,,
long,145.86,146.08,,
as,146.08,146.21,,
it,146.21,146.31,,
connected,146.31,146.69,,
with,146.69,146.83,,
human,146.83,147.12,,
life,147.12,147.34,,
somehow,147.34,147.85,,
There,148.58,148.83,,
are,148.83,148.96,,
few,148.96,149.27,,
things,149.27,149.73,,
that,149.73,149.84,,
do,149.84,149.97,,
.,149.97,150.18,,
We,151.63,151.76,,
three,151.76,151.85,,
had,151.85,151.94,,
a,151.94,151.99,,
chance,151.99,152.53,,
to,152.53,152.56,,
join,152.56,152.88,,
a,152.88,152.93,,
big,152.93,153.15,,
scientific,153.15,153.84,,
expedition,153.84,154.59,,
They,155.13,155.29,,
needed,155.29,155.58,,
a,155.58,155.61,,
doctor,155.61,156.13,,
and,156.44,156.6,,
that,156.6,156.74,,
gave,156.74,157.02,,
Jeff,157.02,157.32,,
an,157.32,157.38,,
excuse,157.38,157.78,,
for,157.78,157.93,,
dropping,157.93,158.29,,
his,158.29,158.55,,
just,158.55,158.83,,
opening,158.83,159.16,,
practice,159.16,159.74,,
they,160.33,160.43,,
needed,160.43,160.69,,
Terry,160.69,160.94,,
’s,160.94,161.04,,
experience,161.04,161.76,,
his,161.85,162.03,,
machine,162.03,162.6,,
and,162.84,163.02,,
his,163.02,163.21,,
money,163.21,163.62,,
and,164.26,164.38,,
as,164.38,164.56,,
for,164.56,164.65,,
me,164.65,164.95,,
I,165.61,165.77,,
got,165.77,165.98,,
in,165.98,166.16,,
through,166.16,166.35,,
Terry,166.35,166.62,,
’s,166.62,166.74,,
influence,166.74,167.31,,
The,169.56,169.62,,
expedition,169.62,170.39,,
was,170.39,170.54,,
up,170.54,170.73,,
among,170.73,171.04,,
the,171.04,171.11,,
thousand,171.11,171.55,,
tributaries,171.55,172.2,,
and,172.2,172.28,,
enormous,172.28,172.68,,
hinterland,172.68,173.25,,
of,173.25,173.35,,
a,173.35,173.38,,
great,173.38,173.65,,
river,173.68,174.14,,
up,174.47,174.64,,
where,174.64,175.02,,
the,175.02,175.1,,
maps,175.1,175.5,,
had,175.5,175.81,,
to,175.81,175.84,,
be,175.84,175.98,,
made,175.98,176.4,,
savage,176.7,177.27,,
dialects,177.27,177.82,,
studied,177.82,178.58,,
and,178.97,179.13,,
all,179.13,179.38,,
manner,179.38,179.77,,
of,179.77,179.85,,
strange,179.85,180.32,,
flora,180.32,180.68,,
and,180.68,180.84,,
fauna,180.84,181.2,,
expected,181.2,181.91,,
But,182.9,183.09,,
this,183.09,183.25,,
story,183.25,183.9,,
is,183.94,184.15,,
not,184.15,184.6,,
about,184.6,184.87,,
that,184.93,185.26,,
expedition,185.26,185.98,,
That,186.68,186.89,,
was,186.89,187.07,,
only,187.07,187.43,,
the,187.43,187.51,,
merest,187.51,188.14,,
starter,188.14,188.68,,
for,188.68,188.96,,
ours,188.96,189.53,,
My,191.32,191.42,,
interest,191.42,191.88,,
was,191.88,192.04,,
first,192.04,192.34,,
roused,192.34,192.65,,
by,192.65,192.77,,
talk,192.77,193.1,,
among,193.1,193.31,,
our,193.31,193.43,,
guides,193.43,193.98,,
I,194.42,194.5,,
’m,194.5,194.59,,
quick,194.59,194.83,,
at,194.83,194.9,,
languages,194.9,195.62,,
know,195.82,196.0,,
a,196.0,196.04,,
good,196.04,196.22,,
many,196.22,196.64,,
and,196.78,196.9,,
pick,196.9,197.11,,
them,197.11,197.25,,
up,197.25,197.42,,
readily,197.42,197.86,,
What,198.56,198.71,,
with,198.71,198.91,,
that,198.91,199.13,,
and,199.13,199.22,,
a,199.22,199.25,,
really,199.25,199.72,,
good,199.72,199.89,,
interpreter,199.89,200.39,,
we,200.39,200.54,,
took,200.54,200.8,,
with,200.8,200.99,,
us,200.99,201.22,,
I,201.59,201.73,,
made,201.73,201.9,,
out,201.9,202.05,,
quite,202.05,202.3,,
a,202.3,202.33,,
few,202.33,202.58,,
legends,202.58,203.06,,
and,203.06,203.12,,
folk,203.12,203.44,,
myths,203.44,203.84,,
of,203.84,203.92,,
these,203.92,204.09,,
scattered,204.09,204.54,,
tribes,204.54,205.11,,
And,205.64,205.76,,
as,205.76,205.95,,
we,205.95,206.04,,
got,206.04,206.24,,
farther,206.24,206.6,,
and,206.6,206.72,,
farther,206.72,207.01,,
upstream,207.01,207.76,,
in,207.91,208.02,,
a,208.02,208.07,,
dark,208.07,208.36,,
tangle,208.36,208.7,,
of,208.7,208.8,,
rivers,208.8,209.32,,
lakes,209.32,209.65,,
morasses,209.65,210.34,,
and,210.34,210.45,,
dense,210.45,210.74,,
forests,210.74,211.4,,
with,211.75,211.92,,
here,211.92,212.15,,
and,212.15,212.28,,
there,212.28,212.49,,
an,212.49,212.57,,
unexpected,212.57,213.14,,
long,213.14,213.42,,
spur,213.42,213.67,,
running,213.67,214.18,,
out,214.18,214.37,,
from,214.37,214.56,,
the,214.56,214.63,,
big,214.63,214.82,,
mountains,214.82,215.26,,
beyond,215.26,215.79,,
I,216.49,216.66,,
noticed,216.66,217.05,,
that,217.05,217.15,,
more,217.15,217.39,,
and,217.39,217.47,,
more,217.47,217.7,,
of,217.7,217.77,,
these,217.77,218.05,,
savages,218.05,218.48,,
had,218.48,218.63,,
a,218.63,218.66,,
story,218.66,219.26,,
about,219.73,219.97,,
a,219.97,220.01,,
strange,220.01,220.61,,
and,220.61,220.71,,
terrible,220.71,221.22,,
Woman,221.22,221.58,,
Land,221.58,221.99,,
in,221.99,222.1,,
the,222.1,222.16,,
high,222.16,222.44,,
distance,222.44,223.02,,
Up,223.74,223.92,,
yonder,223.92,224.57,,
Over,225.03,225.2,,
there,225.2,225.35,,
Way,225.35,225.64,,
up,225.64,225.79,,
was,225.79,225.96,,
all,225.96,226.02,,
the,226.02,226.46,,
direction,226.59,227.54,,
they,227.54,227.64,,
could,227.64,227.77,,
offer,227.77,228.22,,
but,228.93,229.06,,
their,229.06,229.2,,
legends,229.2,229.63,,
all,229.63,229.85,,
agreed,229.85,230.18,,
on,230.18,230.3,,
the,230.3,230.4,,
main,230.4,230.66,,
point,230.66,231.09,,
that,231.77,231.94,,
there,231.94,232.11,,
was,232.11,232.32,,
this,232.32,232.48,,
strange,232.48,233.3,,
country,233.3,233.83,,
where,233.83,234.05,,
no,234.05,234.38,,
men,234.38,234.99,,
lived,234.99,235.44,,
only,236.09,236.38,,
women,236.38,236.87,,
and,237.38,237.55,,
girl,237.55,237.83,,
children,237.83,238.43,,
,239.55,239.73,,
of,239.73,239.84,,
them,239.84,239.98,,
had,239.98,240.21,,
ever,240.24,240.5,,
seen,240.5,240.85,,
it,240.85,241.0,,
It,241.17,241.28,,
was,241.28,241.44,,
dangerous,241.44,242.02,,
deadly,242.02,242.57,,
they,242.57,242.71,,
said,242.71,243.06,,
for,243.06,243.21,,
